Year,Intervention,InterventionNum,Month,Season,SeasonNum,AvgTDHK,AvgTCTG,AvgTSYL,AvgTMym,AvgTRaj,AvgTRang,AvgTBar,AvgTKhul,AvgT,Rainfall,RabiesCase,ARV,MDV,RabiesCasePlus1
2013,Before,1,9,Monsoon,2,27.94,27.712,27.69166667,27.967,28.18966667,28.40033333,27.85333333,27.71766667,27.93395833,189.86,9,15319,0,10
2013,Before,1,10,Monsoon,2,26.26483871,26.73903226,25.54903226,26.04258065,25.7783871,25.61129032,26.69032258,26.08903226,26.09556452,165.6,5,16519,0,6
2013,Before,1,11,Winter,3,22.37533333,23.63766667,22.67966667,22.08566667,20.763,20.94966667,22.60966667,21.27,22.04633333,0,8,17243,0,9
2013,Before,1,12,Winter,3,19.61193548,20.08032258,18.6783871,19.10322581,17.65483871,17.67935484,19.79741935,18.50516129,18.88883065,2.1,9,15817,0,10
2014,After,2,1,Winter,3,18.24548387,18.77548387,17.93709677,18.22967742,16.67870968,16.6683871,18.01354839,17.12064516,17.70862903,0.02,11,15126,0,12
2014,After,2,2,Winter,3,21.04714286,21.41142857,19.00071429,20.57071429,19.81571429,19.22642857,21.72892857,21.2975,20.51232143,15.84,9,14848,5688,10
2014,After,2,3,Pre-monsoon,1,26.69645161,25.86483871,23.88612903,26.0816129,26.00516129,25.25225806,26.88354839,27.11,25.9725,16.92,9,17056,2158,10
2014,After,2,4,Pre-monsoon,1,31.85966667,30.08466667,29.163,31.45166667,32.78866667,31.92166667,31.31333333,33.50833333,31.511375,70.69,8,17044,11426,9
2014,After,2,5,Pre-monsoon,1,31.41387097,29.40516129,28.39354839,31.27677419,33.56483871,32.45258065,30.37,32.33774194,31.15181452,245.42,6,15381,7046,7
2014,After,2,6,Monsoon,2,29.50333333,28.88766667,28.523,29.59433333,31.16066667,30.71,29.29633333,30.20033333,29.73445833,432.78,7,14875,0,8
2014,After,2,7,Monsoon,2,28.65935484,28.18709677,28.43225806,28.71322581,29.27709677,29.41129032,28.42419355,28.68677419,28.72391129,223.85,5,13631,0,6
2014,After,2,8,Monsoon,2,28.16709677,27.71322581,27.76483871,28.17612903,28.62322581,28.77032258,28.05967742,28.17645161,28.18137097,369.87,11,14598,0,12
2014,After,2,9,Monsoon,2,27.796,27.677,27.213,27.74233333,28.05266667,27.99666667,27.95766667,27.82233333,27.78220833,264.74,9,16537,0,10
2014,After,2,10,Monsoon,2,26.34193548,26.97032258,25.91032258,26.06129032,26.13580645,26.16483871,26.67516129,26.17225806,26.30399194,57.6,9,18940,0,10
2014,After,2,11,Winter,3,23.00533333,23.91833333,22.13833333,22.502,21.48966667,21.489,23.11933333,21.85866667,22.44008333,0.03,8,19912,0,9
2014,After,2,12,Winter,3,18.93741935,19.84387097,18.8683871,18.65806452,17.34516129,17.61258065,19.27645161,18.17290323,18.58935484,5.83,14,19603,0,15
2015,After,2,1,Winter,3,19.16548387,20.00774194,18.31967742,18.94903226,17.74387097,17.97741935,19.56354839,18.78354839,18.81379032,4.8,10,17931,22484,11
2015,After,2,2,Winter,3,22.48571429,21.75714286,20.28142857,22.065,22.07642857,21.61107143,22.64142857,22.73464286,21.95660714,23.99,8,16329,24864,9
2015,After,2,3,Pre-monsoon,1,26.97677419,26.42774194,24.72580645,26.68354839,27.40290323,26.74612903,26.91677419,27.19645161,26.63451613,20.37,5,19713,20147,6
2015,After,2,4,Pre-monsoon,1,27.96066667,27.60533333,25.92833333,27.66633333,28.98066667,28.77966667,28.22866667,28.97366667,28.01541667,254.87,7,18510,29975,8
2015,After,2,5,Pre-monsoon,1,29.2816129,28.45225806,27.62193548,28.84677419,31.30645161,30.35677419,29.34709677,30.82387097,29.50459677,219.37,5,19363,20777,6
2015,After,2,6,Monsoon,2,28.79433333,28.52733333,27.78466667,28.60766667,30.304,29.51166667,29.034,29.651,29.02683333,410.12,5,17274,17022,6
2015,After,2,7,Monsoon,2,28.07741935,27.63,27.64258065,28.18903226,28.78419355,29.07322581,27.96774194,28.15,28.18927419,607.9,6,15398,0,7
2015,After,2,8,Monsoon,2,28.1616129,27.61,27.62290323,28.24290323,28.63387097,28.72709677,28.01225806,28.21129032,28.15274194,318.41,6,18782,0,7
2015,After,2,9,Monsoon,2,28.10933333,28.098,27.583,28.044,28.32,28.22433333,28.37166667,28.10033333,28.10633333,212.91,5,18006,0,6
2015,After,2,10,Monsoon,2,26.73709677,26.90903226,25.88032258,26.47290323,26.55,26.55516129,26.99387097,26.62,26.58979839,66.62,6,21987,0,7
2015,After,2,11,Winter,3,23.977,23.92733333,22.61766667,23.63233333,23.62966667,23.833,23.863,23.61366667,23.63670833,2.12,11,24346,0,12
